"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"77","Normal/Others","WS/MP18278/2024-2025/137687-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM SULAUNI ME C.C. ROAD NIRMARAN (RADHELAL GHAR SE SULIPALI KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","14-Nov-2024","800000"
"78","Normal/Others","WS/MP18278/2024-2025/137689-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","GRAM ANDA ME C.C. ROAD NIRMARAN ( ASHOK KI KHET SE AAGE KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","25-Nov-2024","999633"
"79","Normal/Others","WS/MP18278/2024-2025/137679-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","GRAM SONIYAPATH ME C.C. ROAD NIRMARAN (SHYAM LAL BHAINA GHAR SE NADI KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","28-Oct-2024","999941"
"80","Normal/Others","WS/MP18278/2024-2025/134670-Construction of boundary walls of existing public and community buildings","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of community building in the Muslim locality.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","14-Nov-2024","598982"
"81","Normal/Others","WS/MP18278/2024-2025/137680-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","GRAM DURPA ME C.C. ROAD NIRMARAN (DAURAM SIDAR GHAR SE CHHEDI LAL GHAR KI ORE)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","19-Nov-2024","984661"
"82","Normal/Others","WS/MP18278/2024-2025/134673-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","CC Road- From Jogiram house to Teejram house.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","03-Dec-2024","499906"
"83","Normal/Others","WS/MP18278/2024-2025/134630-Construction of boundary walls of existing public and community buildings","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Construction of boundary walls","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","31-Dec-2024","1000000"
"84","Normal/Others","WS/MP18250/2024-2025/135267-Installing tube-wells and borewells","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Installation of 10 nos. (sl.no. 1 to 10) Arsenic Free electric based water tank under Falti Beloiaghata G.P and Barasat II P.S","SK NURUL ISLAM","BASIRHAT","Images","02-Sep-2026","3492520"
"85","Normal/Others","WS/MP18152/2024-2025/141223-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights at Gram Panchayat Kothe pakka no 1","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","100000"
"86","Normal/Others","WS/MP18152/2024-2025/141195-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"87","Normal/Others","WS/MP18152/2024-2025/141192-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"88","Normal/Others","WS/MP18152/2024-2025/141197-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"89","Normal/Others","WS/MP18152/2024-2025/141224-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"90","Normal/Others","WS/MP18152/2024-2025/141217-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"91","Normal/Others","WS/MP18152/2024-2025/141213-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places at Gram panchayat Nawan Mehmuana","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"92","Normal/Others","WS/MP18152/2024-2025/141204-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"93","Normal/Others","WS/MP18152/2024-2025/141199-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"94","Normal/Others","WS/MP18152/2024-2025/141202-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"95","Normal/Others","WS/MP18152/2024-2025/141201-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"96","Normal/Others","WS/MP18152/2024-2025/141200-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"97","Normal/Others","WS/MP18152/2024-2025/141208-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"98","Normal/Others","WS/MP18152/2024-2025/141209-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"99","Normal/Others","WS/MP18152/2024-2025/141210-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"100","Normal/Others","WS/MP18152/2024-2025/141211-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"101","Normal/Others","WS/MP18152/2024-2025/141207-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"102","Normal/Others","WS/MP18152/2024-2025/141206-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"103","Normal/Others","WS/MP18152/2024-2025/141205-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"104","Normal/Others","WS/MP18152/2024-2025/141215-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places at Gram panchayat Pakka no 4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"105","Normal/Others","WS/MP18152/2024-2025/141212-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"106","Normal/Others","WS/MP18152/2024-2025/141214-Fitting of Sitting RCC Benches in Public Places","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Fitting of Sitting RCC Benches in Public Places at Gram panchayat Pakka no 1","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","150000"
"107","Normal/Others","WS/MP393/2024-2025/140635-Street lights","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","thirupuvanam town panchayat (mplads 2022-23) 16th ward chinna muthumariamman kovil near mini mast light","Shri Karti P Chidambaram","SIVAGANGA","Images","24-Sep-2024","500000"
"108","Normal/Others","WS/MP18336/2024-2025/135505-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","CC road nirman, kirtu verma ke byara se main road tak, Village Sontara, Block Tilda, Dist Raipur","BRIJMOHAN AGRAWAL","RAIPUR","Images","29-May-2025","1000000"
"109","Normal/Others","WS/MP18336/2024-2025/135506-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","CC road nirman, Rakesh ke ghar se Hemnath ke ghar tak, Gram Janjgira, Block Tilda, Dist Raipur","BRIJMOHAN AGRAWAL","RAIPUR","Images","29-May-2025","1000000"
"110","Normal/Others","WS/MP18153/2024-2025/137282-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. primary School Sodhi Nagar (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232297"
"111","Normal/Others","WS/MP18153/2024-2025/137281-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"112","Normal/Others","WS/MP18153/2024-2025/137280-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. High School Sodhi Nagar (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232062"
"113","Normal/Others","WS/MP18153/2024-2025/137279-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Sodhe Wala (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","18-Mar-2025","232415"
"114","Normal/Others","WS/MP18153/2024-2025/137278-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. High School Kot Karor Kalan (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232650"
"115","Normal/Others","WS/MP18153/2024-2025/137286-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Middal School Sulhani (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","07-Jan-2025","232767"
"116","Normal/Others","WS/MP18153/2024-2025/137285-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Sen. Sec. (Girls) School Mamdot (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232767"
"117","Normal/Others","WS/MP18153/2024-2025/137284-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Jawahar Singh Wala (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","231710"
"118","Normal/Others","WS/MP18153/2024-2025/137283-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary  School Bhure Kalan (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","08-Jan-2025","232497"
"119","Normal/Others","WS/MP18153/2024-2025/137292-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. High School Wahge wala (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232650"
"120","Normal/Others","WS/MP18153/2024-2025/137291-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Middal School Jamitpur Dheru (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","231240"
"121","Normal/Others","WS/MP18153/2024-2025/137290-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Jamitpur Dheru(Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232650"
"122","Normal/Others","WS/MP18153/2024-2025/137289-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Ferozeshah (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232297"
"123","Normal/Others","WS/MP18153/2024-2025/137288-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Adarsh Sen. Sec. School Bukan Khan wala (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232532"
"124","Normal/Others","WS/MP18153/2024-2025/137287-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Middal School Lohgarh (Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","233002"
"125","Normal/Others","WS/MP18153/2024-2025/137293-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System At Govt. Primary School Basti Ram Lal   (Maste Ke)(Capacity 500 Ltrs)","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","231827"
"126","Normal/Others","WS/MP18153/2024-2025/135257-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Sher Khan Wala","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232180"
"127","Normal/Others","WS/MP18153/2024-2025/135256-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Mahalam","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"128","Normal/Others","WS/MP18153/2024-2025/135255-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Ale Wala","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232062"
"129","Normal/Others","WS/MP18153/2024-2025/135259-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Kabbar Wachha","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232650"
"130","Normal/Others","WS/MP18153/2024-2025/135258-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Village Sher Khan Wala","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"131","Normal/Others","WS/MP18153/2024-2025/135262-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Ghall Khurd","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232697"
"132","Normal/Others","WS/MP18153/2024-2025/135261-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Boys Mudki City","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232180"
"133","Normal/Others","WS/MP18153/2024-2025/135260-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Kabbar wachha","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"134","Normal/Others","WS/MP18153/2024-2025/135263-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. Smart School Mana Singh Wala","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"135","Normal/Others","WS/MP18153/2024-2025/135266-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Installation of RO System Capacity 500 Ltrs. at Govt. Girls Sen. Sec. School Mudki City","SHER SINGH GHUBAYA","FIROZPUR","N/A","30-Dec-2024","232415"
"136","Normal/Others","WS/MP18153/2024-2025/135264-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala","SHER SINGH GHUBAYA","FIROZPUR","N/A","04-Apr-2025","241056"
"137","Normal/Others","WS/MP18153/2024-2025/135265-Purchase of mobile water tankers","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Kutti","SHER SINGH GHUBAYA","FIROZPUR","N/A","04-Apr-2025","240833"
"138","Normal/Others","WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-May-2025","250000"
"139","Normal/Others","WS/MP18336/2024-2025/135507-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","CC road nirman, Radheshyam ke ghar se Kadhiya road tak, Gram Bharuwadih kala, Block Tilda, Dist Raipur","BRIJMOHAN AGRAWAL","RAIPUR","Images","29-May-2025","1000000"
